,Country,1/2/3 PD,Audience Type Category,Vehicle,Spend
0,ANDEAN,CHECK,IN MARKET-3PD BEHAVIOR,Social,536.4000000000001
1,Argentina,CHECK,IN MARKET-3PD BEHAVIOR,Social,11499.53
2,Australia,1PD  Audience,RETARGET-1PD RETARGET,Display,12746.2
3,Australia,1PD  Audience,RETARGET-1PD RETARGET,Video,3227.33
4,Australia,2PD Audience,PUBLISHER-2PD,Social,25762.28
5,Australia,3PD Audience,ABM-2PD AUDIENCE,Display,7125.58
6,Australia,3PD Audience,ABM-2PD AUDIENCE,Video,3444.34
7,Australia,3PD Audience,AFFINITY-3PD BEHAVIOR,Display,10606.93
8,Australia,3PD Audience,AFFINITY-3PD BEHAVIOR,Social,164277.69
9,Australia,3PD Audience,AFFINITY-3PD BEHAVIOR,Video,4589.21
10,Australia,3PD Audience,DMP-3PD AUDIENCE,Display,835.1999999999999
11,Australia,3PD Audience,DMP-3PD AUDIENCE,Video,324.28
12,Australia,3PD Audience,DMP-3PD LAL,Display,6345.570000000001
13,Australia,3PD Audience,DMP-3PD LAL,Video,1635.9699999999998
14,Australia,3PD Audience,IN MARKET-3PD BEHAVIOR,Display,67608.19
15,Australia,3PD Audience,IN MARKET-3PD BEHAVIOR,Social,189858.53
16,Australia,3PD Audience,IN MARKET-3PD BEHAVIOR,Video,24179.21
17,Australia,3PD Audience,SITE IN MARKET-3PD BEHAVIOR,Display,0.0
18,Australia,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,18180.41
19,Australia,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Video,5410.11
20,Australia,3PD Contextual,DOMAIN-3PD CONTEXTUAL,Display,74.19
21,Australia,3PD Contextual,DOMAIN-3PD CONTEXTUAL,Video,233.18
22,Australia,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Display,532943.2
23,Australia,3PD Contextual,IN MARKET-3PD CONTEXTUAL,Social,0.0
24,Australia,3PD Contextual,KCT-3PD CONTEXTUAL,Display,4344.41
25,Australia,3PD Contextual,KCT-3PD CONTEXTUAL,Video,3221.09
26,Australia,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,14136.398427
27,Australia,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display Mobile,1202.59293
28,Australia,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Video,6843.195591
29,Australia,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display,5591.709137
30,Australia,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Display Mobile,1334.110269
31,Australia,AFFINITY-3PD BEHAVIOR,AFFINITY-3PD BEHAVIOR,Video,10019.725339999999
32,Australia,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,5308.031573
33,Australia,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display Mobile,1424.218361
34,Australia,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Video,4635.29743
35,Australia,CHECK,ABM-2PD AUDIENCE,Email,0.0
36,Australia,CHECK,IN MARKET-3PD BEHAVIOR,Display,0.0
37,Australia,CHECK,IN MARKET-3PD BEHAVIOR,Social,286346.11
38,Australia,CHECK,IN MARKET-3PD BEHAVIOR,Video,0.0
39,Australia,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display,992.96
40,Australia,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Display Mobile,79.03
41,Australia,DMP-3PD AUDIENCE,DMP-3PD AUDIENCE,Video,624.2
42,Australia,DMP-3PD LAL,DMP-3PD LAL,Display,21214.372295
43,Australia,DMP-3PD LAL,DMP-3PD LAL,Video,10107.851029
44,Australia,DOMAIN-3PD CONTEXTUAL,DOMAIN-3PD CONTEXTUAL,Display,25584.153
45,Australia,DOMAIN-3PD CONTEXTUAL,DOMAIN-3PD CONTEXTUAL,Display Mobile,0.0
46,Australia,DOMAIN-3PD CONTEXTUAL,DOMAIN-3PD CONTEXTUAL,Video,39884.131309
47,Australia,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display,44615.327507
48,Australia,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Display Mobile,1027.841081
49,Australia,IN MARKET-3PD BEHAVIOR,IN MARKET-3PD BEHAVIOR,Video,24297.6207
50,Australia,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Display,135246.07921555
51,Australia,IN MARKET-3PD CONTEXTUAL,IN MARKET-3PD CONTEXTUAL,Display Mobile,2056.31164
52,Australia,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,1485.913722
53,Australia,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display Mobile,726.944162
54,Australia,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Video,1278.448406
55,Australia,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display,13571.155954
56,Australia,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Display Mobile,1461.713039
57,Australia,RETARGET-1PD RETARGET,RETARGET-1PD RETARGET,Video,5353.066597
58,Australia,SITE IN MARKET-3PD BEHAVIOR,SITE IN MARKET-3PD BEHAVIOR,Display,0.0
59,Austria,2PD Audience,ABM-2PD AUDIENCE,Display,0.0
60,Austria,2PD Audience,ABM-2PD AUDIENCE,Video,5610.0
61,Austria,2PD Audience,PUBLISHER-2PD,Social,3028.54
62,Austria,3PD Contextual,KCT-3PD CONTEXTUAL,Display,0.0
63,Austria,3PD Contextual,KCT-3PD CONTEXTUAL,Video,10055.0
64,Austria,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,24500.514454800003
65,Austria,CHECK,IN MARKET-3PD BEHAVIOR,Social,1996.85
66,Austria,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,0.0
67,Belgium,2PD Audience,ABM-2PD AUDIENCE,Display,0.0
68,Belgium,2PD Audience,ABM-2PD AUDIENCE,Video,5015.02
69,Belgium,2PD Audience,PUBLISHER-2PD,Social,16505.95
70,Belgium,3PD Audience,ABM-2PD AUDIENCE,Social,10662.94
71,Belgium,3PD Contextual,CATEGORY-3PD CONTEXTUAL,Display,0.0
72,Belgium,3PD Contextual,KCT-3PD CONTEXTUAL,Display,3400.06
73,Belgium,3PD Contextual,KCT-3PD CONTEXTUAL,Video,18071.0
74,Belgium,ABM-2PD AUDIENCE,ABM-2PD AUDIENCE,Display,33199.4718654
75,Belgium,CATEGORY-3PD CONTEXTUAL,CATEGORY-3PD CONTEXTUAL,Display,14999.999996999999
76,Belgium,CHECK,IN MARKET-3PD BEHAVIOR,Social,23304.64
77,Belgium,KCT-3PD CONTEXTUAL,KCT-3PD CONTEXTUAL,Display,0.0
78,Brazil,1PD  Audience,RETARGET-1PD RETARGET,Display,50653.340000000004
